,Sentence,Entity,Sentiment
4639,Great value for money and easy to use self-help portal.,value,positive
4640,Katie knowledgeable and it was a quick and painless process,process,positive
4641,Your representative was very knowledgable - patient and able to answer all my questions - I felt confident in the answers and information given - it was a pleasure to speak with a person and not just a Call Centre Agent- true customer service interruption - no hard sell - excellent and a credit to your company,questions,positive
4642,"i complained the last time i use axa that i was told that i was agreeing automated renewal and that i thought it should be offered as an option this prompted a call from customer services but that person really did not listen or care about my comments they just tried to defend axa and basically said i was wrong, great customer service, that said i only ever go on price so this year you are the cheapest so well done!",customer services,negative
4643,Good company with excellent benefits and prices.,company,positive
4644,Very pleased with the straight forward quote process for car insurance and following a second revisit to the website then went on to obtain a cheaper quote than the first one which I accepted.,process,positive
4645,Every thing was pretty straight forward and easy to understand and had no problems filling in the questions on the web page.,web page,positive
4646,Previously when I have tried to do car insurance online following a quote from compare the market I have had to call the insurance company which takes a long time to get through etc. I was also happy with the quote which was substantially different to my previous insurer.,company,negative
4647,website very easy to use and the whole process of getting buildings and contents insurance was very straightforward,buildings,positive
4648,I'm no stranger to websites as I have my own but yours can be a little difficult to navigate.,websites,negative
4649,Prompt service but did chsrge for updating an old policy but to their credit they refunded when questioned,credit,positive
4650,Very friendly staff member who was very clear and helpful in the advise he gave.,staff member,positive
4651,I really appreciated Micheals input and his warm and professional manner I could not have been happier with the service.,service,positive
4652,No reward for loyal customers....getting hacked off with this farce every year.,year,negative
4653,From the moment the call began with the claims advisor it was pretty clear her mission was gto do everything in her power to make sure my claim wouldn't be covered by my insurance.,claim,negative
4654,Good knowledge personable positive good price no problems Â£100 cheaper than my other insurer who said I had a valued customer discount!!,problems,positive
4655,Nearly gave up on travel insurance as other on line site were so frustrating,travel,negative
4656,Very easy website to use only took a few minutes to complete the questionnaire.,website,positive
4657,the only thing i don't agree with was we cancelled one car policy to only take a new one out in my name as partner was insuring a van as well.,thing,negative
4658,Relatively straight forward to deal with over the phone although I did have issues with my own bank trying to pay on-line,issues,positive
4659,i had paid for insurance then found out i had to produce proof of no clai m discount witch i have never done on other companies.,discount witch,negative
4660,Difficult to rate insurance cover without having actually used it.,cover,negative
4661,Got start date wrong and couldn't change it after if paid.,date,negative
4662,i have paid for a new policy but however i try to access my account for my documents etc i am not recognised when requesting a reset the email sent to my email account does not arrive what is this all about!,email account,negative
4663,It also gave me a very competitive quote and a range of options for different levels of cover.,options,positive
4664,Brilliant price and so easy tp follow the website.,website,positive
4665,The customer service was brilliant and the advisor was very helpful,service,positive
4666,\nWhen checking my policy in my AXA account it didn't show up as I already had an account call to the helpline and a very helpful gentleman advised the issue of having an account and that the home policy would have t be merged done in less than a minute.,account,positive
4667,This was the first time for us to make an insurance claim of any kind and we were anxious about the outcome.,claim,positive
4668,Easy to navigate website and not too time consuming to go through a wuote,time,positive
4669,After being a Company Car driver for 30 years and also being 70 yrs old I have no NCB history and was quoted horrendous amounts for my insurance.,insurance,negative
4670,Good service easy to use website clear information on the insurance policy and the available extra products (legal cover etc).,service,positive
4671,Excellent customer service and very friendly staff.,customer service,positive
4672,When a company makes sure that the UX of their websites is friendly to the user is only commendable and that is a big plus for my side.,company,positive
4673,Stella was very helpful polite & friendly she explained everything and she always said if I wasn't sure I could ask question anytime very happy with the service.,service,positive
4674,The sales man was very helpful and efficient in processing my quote and payment.,quote,positive
4675,Very good price with everything covered that I need and clear instructions on line.,price,positive
4676,had difficulty completing my purchase could have been my computer as at it wouldn't let me complete the purchase it kept saying \ windows found a problem\ so i kept loosing the info i had put in.,problem\,negative
4677,but changed my job so I lost a discount the broker could offerSo I tried AXA direct.,job,negative
4678,Easy online application with no hidden extras simple payment  options.,application,positive
4679,At last an English person who I could understand I was happy to add more to my insurance because she was able to explain things to me would could talk about other thing like the weather good old British values.,values,positive
4680,Went through the policy in great detail and very friendly thanx,policy,positive
4681,Purchasing car insurance on their website was stright forward to use and clear to understand and excellant value for money when compared to other insurance companies.,website,positive
4682,All together an easy and understandable car insurance purchase and at a better price than many of your competitors thank you and well done,purchase,positive
4683,Fantastic team running customer services .,customer service,positive
4684,Web site was straight forward with no problems arranging insurance,problems,positive
4685,Payment was efficient and the email response was quick.,email response,positive
4686,The website was easy to use and the three different levels of protection were explained well.,website,positive
4687,Extremely frustrated with the fact axa are charging me extra for a accident i have already disclosed.,accident,negative
4688,I found the web site very easy to use and navigate and the price very good,price,positive
4689,The site was not optimised for mobile making it absolutely terrible to use.,mobile,negative
4690,I will try to rectify this problem as soon as possible.,problem,negative
4691,One minor irritation; when trying to follow journey on iPad upon selecting breakdown cover the screen would not scroll down to see prices / select required option.,breakdown cover,negative
4692,The quote was very easy and quick to secure with a straightforward process.,process,positive
4693,Fantastic customer service by phone when I had a query about my purchase,purchase,positive
4694,poor communication in resolving problem with no claims proof - would not accept a certified letter from my employer!,employer,negative
4695,We saved over Â£800 on a John Lewis car insurance renewal quotation so price comparison websites that actually deliver insurance products such as those offered by reputable insurers such as AXA are absolutely brilliant.,renewal,positive
4696,Was having trouble renewing online so I called and spoke with the sales department.,sales,negative
4697,Stupid idea about logging into an account.,idea,negative
4698,No problem  clearly explained and easy to follow instructions,instructions,positive
4699,I was very pleased with the price you charged a lot less than my last company.,company,positive
4700,Absolute pain and waste of my time,time,negative
4701,Just used go compare to find new insurance for a new - used car - fantastic price all around and very please with my new cover.,price,positive
4702,lady who assisted me was very helpful and efficient and was a credit to axa,axa,positive
4703,\nFirstly the web site very user friendly  the quote was not the cheapest I'd had but the cover they provide is far more superior to other insurance quotes I've had so decide to go with AXA.,web site,positive
4704,Don't understand the service rating as that was not explained for feedback so I ticked the single green circle???,feedback,positive
4705,However axa clawed back my faith in their customer service when Hannah managed to sort this out for me in only one phone call.,axa,positive
4706,The  great news is that it was Â£20 cheaper than the renewal proposal and Â£10 cheaper that the best renewal offered.,news,positive
4707,Highly recommended and will use again next year if the renewal prices are good.,prices,positive
4708,Great service no hassle quick response at a good price.,price,positive
4709,Doing this on line quote was so easy and so quick to do the pages are laid out in an easy to understand way the quickness of the reply and the quote given was superb this is a Insurance company that I would recommend.,reply,positive
4710,Straightforward staff very helpful no problems,problems,positive
4711,For info answering a phone but not providing the ability to do what the call is about is not 24 hour service.,service,negative
4712,service has been ok although price went up for no given reason!!!,price,negative
4713,It is a good company and offers good service and products to the customer.,products,positive
4714,I Found the experience of renewing my car insurance quick and easy.,experience,positive
4715,I opted for poor based on dealings with Swiftcover part of AXA Last year my renewal price had risen I compared insurers and AXA suited.,insurers,negative
4716,the website was easy to use it's just a shame it wouldn't let me register.,shame,negative
4717,Really pleased with customer experience good telephone manner very informative very pleased overall thanks,customer experience,positive
4718,Took out a Home and Contents policy via Confused.com and the Axa website - a competitive price with the completion of the policy details straight forward leading to good document storage and access on the website,policy details,positive
4719,Simple easy to follow form and very reasonable price.,price,positive
4720,Competitive premiums and good service over the  years.,premiums,positive
4721,Hopefully good service if I need to make a claim!,service,positive
4722,Previous insurance company just kept increasing the cost each year even though i had not ever claimed in over 10 years.,cost,negative
4723,Great features with the car insurance very competitive price i trust them but hopefully never have to make any claim.,car insurance,positive
4724,so your computer systems are not rebust enough for me.,computer systems,negative
4725,After they took my payment I was disappointed to have to provide proof of my no claims discount I do not have a scanner or fax and not happy to entrust the post with my NCD letter.,payment,negative
4726,Competitive pricing with clear information\nI would certainly recommend them from the experience I have had.,pricing,positive
4727,Quick and very easy to use mobile website cheapest quote all done in a few minutes over my smartphone.,mobile,positive
4728,My documents are available online but I was also able to save my certificate as a PDF for my own reference.,documents,positive
4729,Clear and precise information at a good price.,price,positive
4730,A speedy service I was able to obtain insurance with ease.,service,positive
4731,Didn't like the renewal quote from my current provider.,renewal quote,negative
4732,The process was quick and easy with a good result.,process,positive
4733,It was very easy to complete and answer all the questions and everything was clear and the final payment much cheaper than the quote from my previous insurer.,questions,positive
4734,straight forward process choice of phone contact or internet application well laid out process,process,positive
4735,Getting car insurance was easy to so with clear info and easy to follow instructions,car insurance,positive
4736,considering it's not a free phone number i was hanging on for a long time before anyone answered which was irritating.,time,negative
4737,Really good service this is the first time I'd taken out car insurance and the agent Andy really helped me through the process and called me back when I was ready to set it up.,insurance,positive
4738,The young lady that dealt with me whos name evaids me was great she answered all my questions as well as being pleasant warm person she is a credit to the AXA team.,questions,positive
4739,Person on phone was very helpful professional and answered all my questions.,questions,positive
4740,I have used you for the past 4 holidays now and this is down to the fact that I always get good customer service from you.,service,positive
4741,He quickly offered assistance obtained altered and corrected the error and I proceeded to purchase the policy that I was going to reject because of the initial pricing error.,error,positive
4742,AXA once again came up with the best car insurance price with very good comprehensive cover,insurance,positive
4743,Easy online service and offer a lot,offer,positive
4744,Went on line completed transaction in no time at all.,transaction,positive
4745,Very informative called the call centre got all the information I needed about different insurance options.,call centre,positive
4746,I already have business insurance with AXA and switching over my car insurance was easy and saved me a lot of money,insurance,positive
4747,Very friendly phone manner willing to help answer questions no problem .,phone,positive
4748,I was looking for car insurance I had a couple of queries not answerable on the web site the person I spoke to was helpful and after speaking to a manger was able to advise me on the best way forward even though this meant me paying less so well done.,web site,positive
4749,informed me of the products but did not do a hard sell which would completely put me off using a company.,products,negative
4750,Efficient helpful and fast turnaround of queries by Rachel King.,queries,positive
4751,Over Â£200.00 cheaper than my renewal quote from another provider - easy to use website,website,positive
4752,Prompt when ask for quotes very polite telephone service and quite efficient  can take quite a long time for  descions about fault I have waited 9 months and still waiting\n,service,positive
4753,the only minus i have on this is the fact i did not realize the charge for credit card until too late,minus,negative
4754,Easy to use website that did not ask any irrelevant questions.,questions,positive
4755,I'd recommend  AXA all the time  there online service is excellent amending details etc was so simple also when I did speak to someone they were most helpful and clear to understand.,service,positive
4756,Phone was answered very quickly and documents sent over very quickly.,documents,positive
4757,Unhappy they doubted some of the information provided,information,negative
4758,The policy I took out with Axa was 50% cheaper than my renewal price and provided better cover!,cover,positive
4759,Fast web based insurance for home that provides good cover and easy choice of options at a great price.,price,positive
4760,Great price on the product quick to answer my call uk call center and friendly polite and helpful customer service advisers.,product,positive
4761,Surprisingly simple process helpful telephone consultant competitive price - did not deviate from on-line quotation asked only the necessary questions gave only the necessary information and did not try to oversell other products.,price,positive
4762,Their service was poor and provided the wrong item and eventually told me in the day of delivery that the item was out of stock.,delivery,negative
4763,Direct contact with companies staff excellentand would recommend there product and service.,service,positive
4764,Very good call handler who was very helpful and made the entire process flawless including information on what changes in cover could positively be tailored to my individual needs with good questions on my situation and needs as a driver so that I may have the policy best adapted to my requirements,questions,positive
4765,the person who assisted me on the phone was very helpful and nothing seemed too much trouble.,trouble,negative
4766,Good web site top cover at a great price,web site,positive
4767,Proccess was simple and website was easy to navigate.,website,positive
4768,First class service simple and easy guide to follow online product choice excellent easy to tailor to your own needs fast and easy payment and confirmation of policy would recommend to others well done Axa !,class service,positive
4769,i have 2 passwords that i use for all my business 1 has 1 upper case 6 lower and 5 numbers and your system will not accept it the other has 1 upper case 5 lower and 3 numbers it will not accept this one either.,system,negative
4770,Quick response  comprehensive choice,choice,positive
4771,The way it's set out could be slightly better but overall a good service.,service,positive
4772,very happy with what it offers and the price is the very goodi am very happy with the amount i will be paying every month,price,positive
4773,All okay thanks although if honest I did feel a bit annoyed at Â£15 admin fee during cooling off period a month before insurance even due to start.,insurance,positive
4774,Very clear website - easy and quick online process.,website,positive
4775,Great service by a lovely lady she was polite virtuous and a credit to your business,service,positive
4776,a good comprihensive service from knowledgable staff,staff,positive
4777,All online processing and new account establishment very easy.,processing,positive
4778,The Website was quick and easy to use enabling us to find the insurance product for our needs.,insurance product,positive
4779,I visited the website after seeing the advert on TV getting a quote on line was straightforward and the best price I could find (with policy inclusions that other sites did not have) also AXA was transparent.....everything was easy to find out eg policy excesses.,excesses,positive
4780,This required an inconvenient  telephone stage to complete the transaction.,transaction,negative
4781,received great service and would like to thank them for their help as i am a new internet user and found the instructions very straightforward thens again.,instructions,positive
4782,Excellent competitive price and easy to navigate website persuaded me to buy my car insurance from AXA.,car insurance,positive
4783,Helpful telephone staff and straightforward Internet site.,telephone staff,positive
4784,Used a price comparison website so no dealing with AXA themselves,comparison,negative
4785,Very good service helpful and good price,price,positive
4786,Sas more than happy with the quote i received and all sorted within minutes,quote,positive
4787,Oh they gave me £27 back for my trouble WOW...STEER CLEAR...Little things (customers) Don't meana  lot!!!,trouble,negative
4788,I searched for quotes for my annual renewal through confused .,renewal,negative
4789,II keep putting in my information but it doesn't accept my new password and keeps going back to the beginning so I cannot print the documents,information,negative
4790,Only complaint would be that there didn't seem to be anywhere to ask for business use for the two  named drivers on the policy.,business,negative
4791,AXA have alternative telephone line so I contacted to them and it was very easy to complete the purchase.,purchase,positive
4792,The online service worked well and the two staff members I talked with on the phone were very helpful and polite.,staff member,positive
4793,Cheryl made my enquiry so easy for me from start to finish that even though I had received a cheaper quote elsewhere I decided to stay with AXA.,quote,positive
4794,my previous insurer wanted to charge me over â£3000 because of accident i had that wasn't my fault and i didn't even put a claim in i paid it out of my own pock and they increased my insurance by over â£2000.,claim,negative
4795,A quick pleasant way to obtain car insurance,car,positive
4796,Not keen on everything bein on computer I perfer paperwork not easy when people R not good with computers,people,positive
4797,The sales person was very clear when explaining my cover he was helpful and I felt happy with my service,service,positive
4798,Very good web site and good customer service,web site,positive
4799,Easy to arrange car insurance online and at a fair price.,online,positive
4800,Found the website very user friendly for getting a quote being able to easily edit and immediately see impact of options.,website,positive
4801,Poor service,service,negative
4802,Very good easy to do online and a decent price.,price,positive
4803,An excellent service very clear helpful responses to my queries all options well explained.,options,positive
4804,Easy to buy insurance through compare the market no problems have sent my NCB certificate through so hopefully no hiccups.,certificate,positive
4805,I had to claim for damage to a household fixture.,claim,negative
4806,Bought home insurance good policy no issues getting it very smooth transaction.,issues,positive
4807,Great service cancelled my previous cover as last insurance was with their subsiduary company and didnt need to send proof of no claims because they could get it themselves.,company,positive
4808,Very happy great customer service hope to see it drop on the next year â˜ºï¸,service,positive
4809,My enquiry was handled efficiently and the premium was competitive.,premium,positive
4810,Please either let me pay without signing up (I'm a software engineer I know it can be done easily and no I don't want the 'enhancements' that you will claim are vital to my shopping experience and can only be enabled by having a user login) or at least offer login via third party (google / facebook / etc).,user,negative
4811,Very competitive fantastic cover at a low price,cover,positive
4812,Very helpful customer adviser his name was Mark.guided me through everything with easewould definitely recommend axa to my friends and family great quote.,axa,positive
4813,The process of arranging car insurance was simple & easy from start to finish.,car insurance,positive
4814,\nExcellent service after that except it was hard to hear the call taker as there was so much background noise.,call taker,positive
4815,The only down side and it's a big one is the extortionate interest rate applied to pay for my policy monthly.,interest,negative
4816,She is a good asset to Axa with a very friendly and professional attitude.,asset,positive
4817,Was phoned by your agents but it was inconvenient.,agents,negative
4818,My only complaint is the amount of time it took for the phone to be answered - I know it was during the lunchtime period but this is the time most people can find time to call so more call handlers would be advisable.,phone,positive
4819,The telephone element of the service was excellent however the 'registration' to enable the download of the Certificate of Insurance was a disaster in that having filled all the boxes and obtained green ticks for all the form reverted to beginning again with an issue related to 'password'.,password,negative
4820,i was very disturb that i never got a reminder from my call in november about loosing my husband and i should have had a call back as a reminder of the renewal date and ended driving around for 3 weeks without insurance until i checked last years email.,renewal date,negative
4821,Easy to use website with all the information needed to hand,website,positive
4822,Very cheapOne drawback was that they would automatically take money out of my account for the 2nd year insuranceI have stopped thatI will renew if  I have happy with next year's quote,money,negative
4823,Good value quote and easy to use website.,value,positive
4824,I dealt with a young lady names Gill.It was obvious to me that she was a well-trained agent who knew her product thoroughly.She was quick to understand my needs which resulted in my decision to purchase a policy.,agent,positive
4825,Very informative patient and willing to help and advise and not push for extra options.,options,positive
4826,Very easy and quick to be given a quote and to actually purchase the insurance policy.,insurance policy,positive
4827,I spoke to a lovely lady at AXA and she enabled me to get into the account to print my new travel insurance document but it is not my original account which has my home insurance on it.,home insurance,positive
4828,\nSimple tick boxes with clear prices shown,boxes,positive
4829,Apparently you can't use the same email address for 2 separate policies.,policies,negative
4830,\nI have never had a problem with axa before that's why I'm returning.,axa,positive
4831,Efficient service easy to use website and a great price!,website,positive
4832,Easy to use quick service clear options,options,positive
4833,The account set up still only logs into my quote and no policy details available.,policy,negative
4834,Even though there had been a historical movement incident they offered very competitive quote on line.I decided to send an e mail with the movement history and asked for confirmation that quote was still valid - very quick reply confirming it was.,confirmation,positive
4835,The advisor was knowledgeableacting on their own initiative but listening to my requirements.he found solutions and made the process of insuring my car a seamless experience,advisor,positive
4836,On arriving back in England and finding that our car had been damaged (a scrape) in our absence it came as a shock when at first the AXA representative said that as we had not witnessed the accident we could not claim.,claim,negative
4837,\nThe whole process was very speedy and clearly set out with a competitive premium.,process,positive
4838,the web page inviting me to register would not take my password so that i was unable to access my documents.,web page,negative
4839,I got my travel insurance policy very fast with no hassle.,policy,negative
4840,Two lots of insurance purchased with Axa have saved me a fortune .,insurance,positive
4841,Cheapest car insurance I found and easy to use their website,car insurance,positive
4842,I was happy with the service I got and the easy lay out and no hassle set up of the questions and made it a lot quicker to get through and to get insured,questions,positive
4843,Just taken out car insurance found it quite straightforward as I am not very good at websites.,insurance,negative
4844,however disgusted by automatic renewal but didn't have time to continue search.,renewal,negative
4845,Once I had agreed to accept the policy I then had to phone a number which was not freephone only to spend the next ten minutes answering the same information I had given on line.,information,negative
4846,The email address is published Don their website so there was no excuse for the error.,address,negative
4847,Never shopped on line for insurance before[ I know i am a dinosaur when it comes to computers] Quick easy to follow instructions and a brilliant price.... my one concern and nothing to do with product but me been a novice is if in the event of a claim everything seems to be done on -line i am used to talking on phone and paper-work been filled in however I will be buying more as my policies run out and would recommend AXA to all my dinosaur friends,instructions,positive
4848,\nOverall not a good first impression at all considering cancelling within 14 days and insuring elsewhere if this is the usual level of service.,service,positive
4849,the operative was helpful patient.,operative,positive
4850,Richard helped me sort out the queries I can and reduced the cost of online quote as I entered incorrect info.,queries,positive
4851,Easy to use website and very good value.,value,positive
4852,\nSteve completed my insurance application and my Car Insurance was sorted with a few minutes.,insurance application,positive
4853,very very professional and courteous service provided by your staff an asset which needs to be praised and recognised\neasy to do and will deal again next year should your prices remain competitive,prices,positive
4854,Easy process to get a quote then to buy the policy online.,policy,positive
4855,Good conditions amazing service and products.,service,positive
4856,unable to print documents and no information about how to contact breakdown service if needed,documents,negative
4857,brilliant website and personal page for customers very clear and easy to navigate!,customers,positive
4858,Unfortunately this can only be obtained from the previous insurer (Admiral) and my IT skills and software did not allow me to attach their document so I have had to print it out and post it on.,insurer,negative
4859,Having taken out another policy with AXA after a gap I am pleased to say that their cover is generous and their premium is competitive when I applied online.,premium,positive
4860,hassle free service which was great value for money and saved me nearly Â£300 on my renewal with my old insurer.,value,positive
4861,its not the friendliest site.,site,negative
4862,Therefore I was extremely disappointed to be sent an email informing me that my card d tails would be kept & used for all future renewals!!!!,email,negative
4863,I would strongly recommend this company helpful staff and competitive pricing,company,positive
4864,Found website very easy to use and quick with few questions to be answered,questions,positive
4865,I found the web site to be very user friendly as I was the online form for my policy the phone rang from an AXA operator.,site,positive
4866,getting the quote was easy the layout of the purchase screen could be clearer but was eventually easy enough to get around.,quote,positive
4867,Poor customer service,customer,negative
4868,I would highly recommend axa insurance the person that i dealt with was totally professional and yet still friendly and the main thing the price wad right.,axa insurance,positive
4869,dont bother with them (compare the market sites) this company come up tops all the time!,company,positive
4870,after being messed around by other insurance companies who were trying to strong arm me in deals i didn't want it was a relief to go with axa as it was just so straight forward.,deals,negative
4871,Made me feel like I made the right decision to switch insurer and gave me confidence in the company.,decision,positive
4872,No problems except no information regarding the cooling off period,period,positive
4873,going from a comparison site (from topcashback) also resulted in the flat root percentage not transferring correctly through to the insurance details.,insurance details,negative
4874,The customer advisor was very helpful and polite very good service all round.,advisor,positive
4875,\nI was informed of the procedure that would be followed I was also informed of which contractor would be carrying out the work and their contact details.,procedure,positive
4876,We now have all the family cars with AXA because of the great service.,service,positive
4877,Had to call after I realised I got the start date of my insurance wrong.,insurance,negative
4878,Not having made any household claim before I was concerned how difficult it would be.,claim,negative
4879,it was a very easy and straight forward process to complete the application form to purchase my car insurance and their prices are very competitive.,process,positive
4880,Very easy to navigate website only problem could not recognise my registration but had this on other websites so had to ring them up and they had to override the problem but telesales were very helpful and polite overall very good,website,positive
4881,Hate telephone inquisition especially having done most of it on line already.,line,negative
4882,Very helpful understanding explained what was going to happen claimed action very quick very impressed with the customer service.,service,positive
4883,Because Axa'a renewal quotes are not as competitive as new quotes for identical cover I do not think that Axa should have automatic renewal as the default option and make it difficult for a close family member to cancel on behalf of an elderly disabled relative.,quotes,negative
4884,Quick and simple to to insure my car and very good price .,price,positive
4885,Actual price was much more expensive than initial quote.Axa were unable to find accurate details of required car.,price,negative
4886,best price and reasonable voluntary excess payment....,price,positive
4887,will not be renewing my home insurance,home insurance,negative
4888,claims line not open at evening or weekend so not sure what i'd do with axa if i needed assistance outside of 9-5 not very helpful.,axa,negative
4889,Great customer service really friendly and helpful staff.,service,positive
4890,Good use of information and simple to navergate on the website and simple payments,website,positive
4891,No nonsense web siteeasysimple instructions.,web,negative
4892,i was coming up for a renewal and was text by axa to say id be auto renewed without any given permission which i did not request.,axa,negative
4893,so why was i not able to purchase travel insurance for a single trip with them when i called?,trip,negative
4894,I am getting quite anxious about the situation now.,situation,negative
4895,bad customer experience i didn't want to renew with you after that i only have because you were the cheapest.,customer experience,negative
4896,I've used your service in the past and will continue to use you in the future... very good competitive rates and excellent customer service.Easy to use online quotes....and user friendly forms to fill...staff were very helpful and polite.,service,positive
4897,this is a pretty pointless question as i didn't have any contact to enable me to make a judgement.,contact,negative
4898,My wife made the call the centre and we're not that helpful,centre,negative
4899,this process was extremely upsetting and stressful however the insurance team attended to assess the damage and the overview of the claim was provided and handled very professionallythe stress continued with the repeated enquiry regarding the damage caused and value of claimalthough this has been resolved i do not want to go through this process againbetter handling would be advised if i did not have to chase up enquiry after enquiry to ensure that the damage caused was identified and covered by the claim,damage,negative
4900,Continuous questions about an extremely mild medical condition that caused a great increase in my premiums,premiums,negative
4901,service provided is not good enough.Took very long time to get quote and incorrect quote.amended quote and tried to on line could not do so.Even contacted customer service they could not assist.Thank you,service,negative
4902,Very helpful customer service weren't too pushy with additional services,customer,positive
4903,\nI want to use this opportunity to say thank you to all AXA staff.,staff,positive
4904,I took out a new policy today with AXA which was a lot cheaper than the price Swift was offering as a renewal I then get told I have to pay £6.81 (not a lot I know) due to the non fault claim last year!!,claim,negative
4905,Very friendly lady with great personal communication skills and very efficient,communication skills,positive
4906,The rep was was clear precise and patient a very nice lad and we ended up insuring through you because of the service provide.,service,positive
4907,it was good but took awhile to get the quote and i could not select my insurance documents.,insurance documents,negative
4908,could not get through on the phone as long wait the online quote was very easy to use.,phone,negative
4909,Excellent website easy to use with good detailed information,website,positive
4910,i was very pleased with my purchase and the customer service was terrific i would recommend to anyone to purchase from axa and hope to have a long and happy time with axa thank you for your help,axa,positive
4911,easy to follow application process for competitively priced policy\n                         many thanks     earl,application process,positive
4912,for example on compare the market i selected end terrace house but that type of house does not exist on axa so i had to pick semi detached house which made the price go up by â£6.,axa,negative
4913,Disappointed that they didn't help with our claim,claim,negative
4914,Really efficient gentleman on the phone - gave great info without waffling and made the call straightforward!,gentleman,positive
4915,Very easy to navigate and all questions laid out in a logical flow.,questions,positive
4916,The process worked well and I am satisfied that I have obtained sound cover at a reasonable price,process,positive
4917,\nWould highly recommend Axa service and the use of a dedicated repair service,service,positive
4918,Very prompt answering of the telephone and great service.,service,positive
4919,Many other companies didn't give online quotes to cover bigger houses unless you call them direct.,quotes,positive
4920,when i updated my account to my new address my premiums went up by â£4 per month to â£22 i was not happy.,month,negative
4921,Good service online quick and easy steps to follow,steps,positive
4922,lot of relevant information required for quote resulted in a quick trouble free quote.,information,positive
4923,excellent customer service and very quick process,customer,positive
4924,Only negative automatic renewal service.,renewal,negative
4925,very easy to use website and all information was easy to follow,website,positive
4926,We were also required to enable the payment details to remain on file so that an automatic payment will be taken next year.,payment details,positive
4927,I have taken out a second travel insurance policy and although it has given me a number it will not let me access the policy.,policy,negative
4928,Have been with the same Company for 2 years- they do not reward loyalty as AXA was £120 cheaper for better cover.Glad took the time tocheck out an alternative.,time,negative
4929,i have received two replies one saying they could not read my email the 2nd was just blank.,2nd,negative
4930,\nNo problems encountered and no unnecessary detail was asked.,problems,positive
4931,quite hard to contact about a query phone numbers hidden and online portal seems to be dodgy or down!!!,query,negative
4932,The password option is rubbish people should not have restrictions and should be able to put whatever password they want,password,negative
4933,I would have like to actually talk one of their staff but this was not possible and I put down to Xmas holidays.,holidays,negative
4934,Excellent AAMIR was a good ambassador for your company possesses excellent customer care skills.,customer care,positive
4935,Advisors are extremely helpful and provide excellent customer service.,customer service,positive
4936,Seems a reasonable value cover easy to use web site to set up the policy.,value,positive
4937,Your online service is worse than useless.,service,negative
4938,Excellent service covered all aspect of my requirements which were met with an excellent insurance quote that i purchased immediatey,service,positive
4939,Also the questions relating to previous accidents and claims do not allow the applicant to point out that he/she was not the driver at the time of the accident even though they were the owner of the vehicle and the insurance policy holder.,insurance policy,negative
4940,Had constant problems with your site.,problems,negative
4941,Slightly frustrated that at the end of the process I was told we need to send proof of no claims and this hadn't been mentioned sooner.,proof,negative
4942,I would  recommend AXA to friends and family and will buy from them again if the renewal premium in twelve months time is competitive.,months,positive
4943,Cheapest car insurance I could find on the market with No Claims Discount!,market,negative
4944,Great value premium product providing  perfect cover for me at a very competitive price.,value,positive
4945,\nAll completed in very little time.,time,positive
4946,Professional but friendly service with full explanations which made me confident  accepting the quote.,service,positive
4947,\nI was happy with my previous experience however i would like to print out my policy and cant.,experience,positive
4948,I get an error message every time I try to download and print my policy documents for a policy I purchased this week.,policy documents,negative
4949,Very easy web site and competitive price will tell others about the service,price,positive
4950,Helped me out to mirror policy when needed fair price on both cars happy with service can't fault  excellent customer services,service,positive
4951,satisfactory service and pleasant staff,service,positive
4952,Really easy to use website but the option to pay online to complete the transaction is missing.,transaction,negative
4953,Applying for cover was a little long-winded on the call but probably no worse than anybody else.,cover,negative
4954,I have left my current insurance for axa as I had a better deal.,axa,positive
4955,very efficient  on the phone to finalise but had problems completing the on line application.,line,negative
4956,Had some difficulties filling the online quote form.,difficulties,negative
4957,Spoke to Paul and was fantastic at helping me sort out my insurance well explained and very quick and easy process...having difficulty registering on the website though,process,positive
4958,I also have every faith in Axas market leading claims service if I need assistance.,claims,positive
4959,recently taken out home insurance very thorough very competitive and easy to complete questionnaire would recommend them so far,home insurance,positive
4960,Very helpful staff a pleasure to deal with,staff,positive
4961,If only I had gone to their site first time it would have saved me a lot of wasted time being quoted high prices for poor cover.,cover,negative
4962,It was easy to complete the application for a quote but should you be unsure of what information was requested an explanations was given.,quote,positive
4963,No hassle straightforward and easy to use website made renewing the car insurance a quick and easy task.,website,positive
4964,i got fully comp insurance at a very good price without going through a broker,price,positive
4965,I am even considering cancelling the policy if this is not resolved without further 1hr phone calls.,policy,negative
4966,Did my quote and payment online but it couldn't have been easier.,quote,negative
4967,Easy and clear website  good package options not too expensive,website,positive
4968,Great service felt like I got the best deal possible,service,positive
4969,really nice to speak to a fantastic customer service rep and 100% happy with my new insurance policy .... Thank you,customer service,positive
4970,Info over phone was contradictory,phone,negative
4971,Gerard was very polite very curtious and knew what he was doing and had a good telephone manner.,telephone manner,positive
4972,Had trouble with website as aspects were being blocked resulting in me calling customer services.,website,negative
4973,No problems with online service although would have liked to receive documents through the post as it was  Insurance for my Mother.,problems,negative
4974,Good customer service over the phone and easy to understand web-sight options.,service,positive
4975,Simple  to use website every step of the way made easy.,step,positive
4976,was easy to arrange and the discount was good as I had a axa car policy,axa,positive
4977,despite sending proof of ncd I keep getting emails asking for it and threats to cancel,emails,negative
4978,after not claiming on home insurance for many years we have unfortunately had to claim twice over the last six months.,years,negative
